DEPARTMENT_NAME,TITLE,REGULAR,OTHER,OVERTIME,INJURED,DETAIL,QUINN_EDUCATION_INCENTIVE,TOTAL_GROSS
BPS Madison Park High,Teacher,"120,513.12",300,,,,,"120,813.12"
Newcomers Academy,Teacher,"116,510.68","4,302.20",,,,,"120,812.88"
BPS Boston Comm Leadership Ac,Teacher,"115,972.48","4,836.87",,,,,"120,809.35"
Public Facilities Department,Project Manager II (PFD),"116,181.07","4,468.50",143.63,,,,"120,793.20"
BPS Health Service,Nurse,"111,151.94","9,634.67",,,,,"120,786.61"
BPS O'Bryant School,Nurse,"120,778.84",,,,,,"120,778.84"
Boston Fire Department,Fire Fighter,"100,395.61",685.74,"19,689.47",,,,"120,770.82"
BPS O'Bryant School,Teacher,"119,678.84","1,080.00",,,,,"120,758.84"
UP Academy Dorchester,Director (D) (non-ac),"115,751.69","5,000.00",,,,,"120,751.69"
Boston Police Department,Police Officer,"108,038.52","5,666.61","2,988.66",,"4,048.00",,"120,741.79"
Mildred Avenue K-8,Teacher,"118,382.92","2,353.71",,,,,"120,736.63"
Curley K-8,Instructional Coach,"116,876.60","3,857.14",,,,,"120,733.74"
BPS South Boston HS - Excel,Student Dev Counselor (1),"120,723.31",,,,,,"120,723.31"
BPS Health and Wellness,Director (BASAS 11B),"92,265.49",,,,,,"120,722.35"
BPS Special Education,Speech & Language Pathologist,"120,714.74",,,,,,"120,714.74"
Boston Police Department,Criminalist IV,"111,188.51",,"9,525.77",,,,"120,714.28"
Curley K-8,Teacher,"120,702.90",,,,,,"120,702.90"
Umana Middle,Teacher,"118,861.08","1,832.58",,,,,"120,693.66"
BPS New Mission Pilot,Teacher,"101,089.04","6,600.00",,"13,001.40",,,"120,690.44"
BPS McCormack Middle,Specialist (BTU),"86,473.08","34,211.65",,,,,"120,684.73"
Chief Academic Officer,New Teacher Developer,"115,170.90","5,500.00",,,,,"120,670.90"
BPS Orchard Gardens K-8 Pilot,Teacher,"110,007.98","4,900.00",,,,,"120,670.42"
Boston Cntr - Youth & Families,Program Administrator,"117,065.00","3,602.00",,,,,"120,667.00"
BPS Special Education,Teacher,"120,664.92",,,,,,"120,664.92"
BPS McKinley Middle,Teacher,"120,649.10",,,,,,"120,649.10"
BPS Dearborn Middle,Teacher,"117,665.90","2,981.04",,,,,"120,646.94"
BPS Special Education,Occupational Therapist,"120,645.97",,,,,,"120,645.97"
BPS Special Education,Occupational Therapist,"120,629.44",,,,,,"120,629.44"
BPS Special Education,Occupational Therapist,"120,629.44",,,,,,"120,629.44"
BPS Boston Latin,Teacher,"116,742.44","3,879.75",,,,,"120,622.19"
BPS Harvard/Kent Elementary,Teacher,"119,154.68","1,462.00",,,,,"120,616.68"
BPS Human Resource Team,Coordinator (BTU),"120,595.54",,,,,,"120,595.54"
BPS Special Education,Comm Connections Fac,"120,595.54",,,,,,"120,595.54"
BPS Alternative Education HS,Teacher,"119,078.92","1,505.00",,,,,"120,583.92"
BPS Long Term Leave,BPS Bi-Weekly 26 Leave,"120,576.36",,,,,,"120,576.36"
Inspectional Services Dept,Assoc Inspec  Engineer(Isd),"111,405.62","5,344.20","3,825.24",,,,"120,575.06"
King K-8,SpEd Support Svcs Coordinator,"115,572.60","5,001.67",,,,,"120,574.27"
Gardner Pilot  Academy,Teacher,"120,572.72",,,,,,"120,572.72"
Boston Fire Department,Fire Fighter,399.41,"29,367.65",,"90,804.35",,,"120,571.41"
BPS Adams Elementary,Teacher,"119,669.20",901,,,,,"120,570.20"
BPS Special Education,SpEd Support Svcs Coordinator,"120,564.86",,,,,,"120,564.86"
BPS South Boston HS - Excel,Social Worker/Coordinator,"120,564.81",,,,,,"120,564.81"
Boston Fire Department,Fire Fighter,"69,060.43","36,450.15","15,051.24",,,,"120,561.82"
BPS English High,Teacher,"120,553.42",,,,,,"120,553.42"
Eliot K-8,Teacher,"119,045.44","1,500.00",,,,,"120,545.44"
BPS Horace Mann,Social Worker/Coordinator,"120,545.10",,,,,,"120,545.10"
BPS Manning Elementary,Social Worker/Coordinator,"120,537.56",,,,,,"120,537.56"
BPS Beethoven Elementary,Teacher,"120,537.56",,,,,,"120,537.56"
BPS Mather Elementary,Teacher,"120,537.56",,,,,,"120,537.56"
BPS Harvard/Kent Elementary,Teacher,"120,537.56",,,,,,"120,537.56"
Warren/Prescott K-8,Teacher,"120,537.56",,,,,,"120,537.56"
BPS Perkins Elementary,Nurse,"120,537.56",,,,,,"120,537.56"
BPS Special Education,Speech & Language Pathologist,"120,537.50",,,,,,"120,537.50"
BPS East Boston High,Teacher,"113,534.98","7,000.00",,,,,"120,534.98"
BPS Fenway High,Teacher,"120,533.14",,,,,,"120,533.14"
BPS Fenway High,Teacher,"120,533.14",,,,,,"120,533.14"
"Kennedy, EM Health Academy",Teacher,"120,533.14",,,,,,"120,533.14"
Tech Boston Academy,Social Worker/Coordinator,"120,533.14",,,,,,"120,533.14"
BPS Adams Elementary,Teacher,"120,517.28",,,,,,"120,517.28"
BPS Madison Park High,Teacher,"120,513.12",,,,,,"120,513.12"
BPS Ohrenberger Elementary,Specialist (BTU),"119,622.60",880,,,,,"120,502.60"
BPS English High,Teacher,"119,086.16","1,400.00",,,,,"120,486.16"
BPS McKinley Middle,Asst Program Director (7),"109,665.60",,,,,,"120,480.02"
Boston Fire Department,Fire Fighter,"104,764.25",550,"14,785.53",,368,,"120,467.78"
BPS Special Education,Director C Non Acad,"120,459.74",,,,,,"120,459.74"
BPS Special Education,Occupational Therapist,"120,437.04",,,,,,"120,437.04"
BPS Charlestown High,Teacher,"119,354.04","1,076.10",,,,,"120,430.14"
BPS South Boston HS - Excel,Specialist (BTU),"116,746.61","1,500.00",,,,,"120,427.18"
BPS English High,Teacher,"117,520.80","2,900.00",,,,,"120,420.80"
Boston Fire Department,Fire Fighter,"105,923.00","3,050.00","11,447.40",,,,"120,420.40"
BPS Counseling Service,School Psychologist(1),"119,778.88",600,,,,,"120,378.88"
Warren/Prescott K-8,Teacher,"116,981.14","3,394.00",,,,,"120,375.14"
BPS Taylor Elementary,Teacher,"118,972.64","1,400.00",,,,,"120,372.64"
Boston Police Department,Police Officer,"74,491.70",800,"24,558.63",,"16,928.00","3,588.32","120,366.65"
Boston Police Department,Police Officer,,"11,499.03",,"98,965.90",,"9,896.76","120,361.69"
BPS Burke High,Teacher,"117,699.16","2,660.00",,,,,"120,359.16"
Tech Boston Academy,Teacher,"113,105.62","7,250.00",,,,,"120,355.62"
Dpt of Innovation & Technology,Prin Data Proc Systems Analyst,"120,202.92",150,,,,,"120,352.92"
BPS Boston Latin,Teacher,"118,578.72","1,762.00",,,,,"120,340.72"
Boston Police Department,Police Offc Bomb Squad,"87,920.69",800,"8,494.58","23,105.43",,,"120,320.70"
Eliot K-8,Teacher,"118,816.54","1,500.00",,,,,"120,316.54"
BPS Madison Park High,Teacher,"115,157.12","5,156.99",,,,,"120,314.11"
BPS East Boston High,SpEd Support Svcs Coordinator,"118,809.80","1,500.00",,,,,"120,309.80"
"Greenwood, S K-8",Teacher,"120,309.39",,,,,,"120,309.39"
BPS Latin Academy,Teacher,"119,954.12",350,,,,,"120,304.12"
Lyndon K-8,Teacher,"113,898.47","6,402.83",,,,,"120,301.30"
Boston Police Department,Police Officer,"88,023.63",800,"29,531.86","1,945.27",,,"120,300.76"
Boston Police Department,Police Officer,"73,688.94",800,"21,639.27",,"20,654.00","3,517.35","120,299.56"
BPS Dearborn Middle,Director (D) (non-ac),"120,297.63",,,,,,"120,297.63"
BPS Special Education,Teacher,"120,278.86",,,,,,"120,278.86"
Mildred Avenue K-8,Teacher,"117,221.52","3,052.20",,,,,"120,273.72"
BPS Human Resource Team,Consulting Teacher,"113,058.92","7,200.00",,,,,"120,258.92"
Boston Police Department,Police Officer,,"11,238.04",,"99,101.82",,"9,910.13","120,249.99"
Eliot K-8,Teacher,"120,248.04",,,,,,"120,248.04"
Curley K-8,Teacher,"120,246.53",,,,,,"120,246.53"
BPS Condon Elementary,Teacher,"119,517.04",727,,,,,"120,244.04"
Boston Police Department,Police Officer,"99,834.28","10,715.06","7,843.75",,"1,840.00",,"120,233.09"
Boston Public Library,Human Resources Manager (BPL),"120,220.00",,,,,,"120,220.00"
BPS English High,SpEd Support Svcs Coordinator,"119,498.88",720,,,,,"120,218.88"
BPS Orchard Gardens K-8 Pilot,Nurse,"120,218.60",,,,,,"120,218.60"
Mattahunt Elementary School,Teacher,"110,216.60","10,000.93",,,,,"120,217.53"
BPS Sumner Elementary,Teacher,"115,572.60","4,637.61",,,,,"120,210.21"
City Clerk,Asst City Clerk,"113,347.20","6,859.50",,,,,"120,206.70"
BPS Channing Elementary,Teacher,"120,199.13",,,,,,"120,199.13"
BPS Madison Park High,Teacher,"118,997.12","1,200.00",,,,,"120,197.12"
Boston Police Department,Police Officer,,"14,367.70",,"88,189.92",,"17,637.88","120,195.50"
BPS Chittick Elementary,Teacher,"117,776.44","2,418.00",,,,,"120,194.44"
BPS Boston Arts Academy,Nurse,"118,857.44","1,326.10",,,,,"120,183.54"
BPS Madison Park High,Teacher,"115,227.57","4,944.89",,,,,"120,172.46"
BPS Conley Elementary,Teacher,"118,656.99","1,500.00",,,,,"120,156.99"
BPS O'Bryant School,Teacher,"118,654.11","1,500.00",,,,,"120,154.11"
BPS Boston Comm Leadership Ac,Teacher,"119,118.00","1,034.80",,,,,"120,152.80"
Boston Police Department,Police Offc Mobile Offc 2$6,,"9,241.91",,"92,417.00",,"18,483.40","120,142.31"
BPS Madison Park High,Teacher,"115,857.04","4,280.30",,,,,"120,137.34"
Boston Police Department,Police Officer,,"13,482.53",,"96,955.68",,"9,695.65","120,133.86"
Boston Police Department,Police Officer,"97,497.22",850,"2,282.25",,,"19,499.53","120,129.00"
Boston Police Department,Police Officer,"7,612.84","1,715.10",,"87,115.09",,"23,682.13","120,125.16"
BPS Boston Comm Leadership Ac,Teacher,"119,477.08",646.75,,,,,"120,123.83"
BPS Condon Elementary,Asst Principal Elementary,"118,093.78","2,026.72",,,,,"120,120.50"
BPS Guild Elementary,Teacher,"120,117.40",,,,,,"120,117.40"
Young Achievers K-8,SpEd Support Svcs Coordinator,"120,116.63",,,,,,"120,116.63"
BPS Mason Elementary,Specialist (BTU),"119,492.44",620.88,,,,,"120,113.32"
BPS Madison Park High,Teacher,"118,854.43","1,254.00",,,,,"120,108.43"
Haley Pilot,Teacher,"118,895.10","1,200.00",,,,,"120,095.10"
BTU Pilot,Teacher,"120,091.52",,,,,,"120,091.52"
Boston Police Department,Criminalist IV,"116,223.91",254.12,"3,613.24",,,,"120,091.27"
BPS Boston Latin,Teacher,"107,099.56","12,988.83",,,,,"120,088.39"
BPS Human Resource Team,Coord-Manager C,"120,079.56",,,,,,"120,079.56"
BPS O'Bryant School,Teacher,"118,578.72","1,500.00",,,,,"120,078.72"
Boston Fire Department,Fire Fighter,"40,485.97",550,"12,643.55","64,008.04","2,365.00",,"120,052.56"
Boston Public Library,Manager of Content Discovery,"120,021.76",25,,,,,"120,046.76"
Boston Fire Department,Fire Fighter,"97,995.14",550,"20,137.01","1,363.39",,,"120,045.54"
Umana Middle,Teacher,"112,894.60","7,150.71",,,,,"120,045.31"
Transportation-Parking Clerk,Prin Admin Asst(Btd),"116,181.07","3,849.80",,,,,"120,030.87"
Edison K-8,Teacher,"112,433.38","7,586.38",,,,,"120,019.76"
Boston Police Department,Police Officer,"92,047.86",800,"8,751.12",,,"18,409.42","120,008.40"
Boston Police Department,Police Officer,,"10,665.06",,"109,335.89",,,"120,000.95"
Mission Hill K-8,Teacher,"117,265.12","2,713.54",,,,,"119,978.66"
BPS Boston Evening Academy,Teacher,"119,170.66",800,,,,,"119,970.66"
BPS Counseling Service,School Psychologist(1),"119,364.04",600,,,,,"119,964.04"
BPS Lee Elementary,Teacher,"113,065.10","6,895.00",,,,,"119,960.10"
BPS Special Education,Physical Therapist,"119,954.12",,,,,,"119,954.12"
BPS East Boston High,Teacher,"119,954.11",,,,,,"119,954.11"
BPS Counseling Service,School Psychologist(1),"119,953.98",,,,,,"119,953.98"
BPS Madison Park High,Teacher,"119,647.68",300,,,,,"119,947.68"
BPS Special Education,Teacher,"117,694.28","2,250.00",,,,,"119,944.28"
BPS Ellis Elementary,Teacher,"114,224.36","5,714.58",,,,,"119,938.94"
BPS Timilty Middle,Teacher,"119,220.83",706.96,,,,,"119,927.79"
Curley K-8,Teacher,"118,143.44","1,781.96",,,,,"119,925.40"
BPS Human Resource Team,Teacher,"119,924.95",,,,,,"119,924.95"
Haynes EEC,Teacher,"119,517.28",400,,,,,"119,917.28"
Boston Fire Department,Fire Fighter,"99,843.10",550,"19,522.76",,,,"119,915.86"
BPS Boston Latin,Teacher,"105,212.96","14,694.16",,,,,"119,907.12"
Boston Police Department,Police Officer,,"12,753.41",,"97,398.40",,"9,739.92","119,891.73"
UP Academy Dorchester,Director Of Instruction,"109,133.57",,,,,,"119,884.43"
Tech Boston Academy,Teacher,"118,380.40","1,500.00",,,,,"119,880.40"
BPS Charlestown High,Teacher,"100,263.08","19,609.46",,,,,"119,872.54"
Auditing Department,Asst City Auditor,"114,640.58","1,839.16","3,376.44",,,,"119,856.18"
BPS Boston Latin,Teacher,"119,354.04",500,,,,,"119,854.04"
Boston Police Department,Police Detective,"103,261.12",800,"15,785.07",,,,"119,846.19"
BPS Irving Middle,Teacher,"118,922.68",922.34,,,,,"119,845.02"
BPS Boston Arts Academy,Teacher,"116,958.43","2,863.92",,,,,"119,822.35"
BPS Dearborn Middle,Teacher,"102,176.96","17,644.88",,,,,"119,821.84"
Boston Police Department,Police Officer,"85,105.72",800,"27,343.45","4,863.18","1,702.00",,"119,814.35"
Public Works Department,Prin Civil Engineer,"97,399.55","2,109.04","20,294.01",,,,"119,802.60"
Mildred Avenue K-8,Director (D),"114,380.18","5,420.88",,,,,"119,801.06"
Henderson Elementary,Teacher,"119,794.20",,,,,,"119,794.20"
Boston Police Department,Police Officer,"93,567.08",800,"6,307.26",338.4,,"18,781.20","119,793.94"
Environment Department,Commissioner,"117,889.82","1,891.40",,,,,"119,781.22"
BPS O'Bryant School,Teacher,"119,778.88",,,,,,"119,778.88"
BPS Special Education,Speech & Language Pathologist,"119,778.88",,,,,,"119,778.88"
BPS Special Education,Teacher,"119,778.88",,,,,,"119,778.88"
BPS Special Education,Occupational Therapist,"119,778.88",,,,,,"119,778.88"
BPS Latin Academy,Teacher,"119,778.88",,,,,,"119,778.88"
BPS Special Education,Physical Therapist,"119,778.77",,,,,,"119,778.77"
BPS McKinley Middle,Teacher,"118,976.10",800,,,,,"119,776.10"
Boston Police Department,Police Officer,"22,641.07","4,995.96","1,825.67","71,484.71",,"18,825.08","119,772.49"
Boston Police Department,Police Officer,"18,546.28","10,665.06",,"90,561.13",,,"119,772.47"
Quincy Upper School,Teacher,"115,770.52","4,000.00",,,,,"119,770.52"
Warren/Prescott K-8,Teacher,"118,660.88","1,100.00",,,,,"119,760.88"
Boston Police Department,Police Offc/Bomb Squad,"22,501.10","7,666.99","2,227.07","84,604.19","2,760.00",,"119,759.35"
East Boston EEC,Teacher,"119,753.92",,,,,,"119,753.92"
BPS Murphy Elementary,Teacher,"118,289.24","1,462.00",,,,,"119,751.24"
Hernandez K-8,Teacher,"118,636.34","1,110.00",,,,,"119,746.34"
Mission Hill K-8,School Psychologist(1),"116,709.07","3,036.10",,,,,"119,745.17"
BPS O'Bryant School,Student Dev Counselor (1),"119,730.10",,,,,,"119,730.10"
BPS Counseling & Intervtn Ct,Specialist (BTU) non ac,"119,730.10",,,,,,"119,730.10"
"UP ""Unlocking Potential"" Acad",Director (Basas 10B),"107,081.28",,,,,,"119,710.76"
UP Academy Dorchester,Director (Basas 10B) (non-ac),"107,081.28",,,,,,"119,710.76"
Boston Fire Department,Prin Admin Asst,"101,352.42","1,938.60","16,419.23",,,,"119,710.25"
Boston Police Department,Police Officer,"74,491.70",800,"7,975.84",,"36,432.00",,"119,699.54"
Curley K-8,Teacher,"119,678.47",,,,,,"119,678.47"
BPS Boston Comm Leadership Ac,Teacher,"115,777.20","3,890.00",,,,,"119,667.20"
BPS Madison Park High,Guidance Counselor(1),"119,647.68",,,,,,"119,647.68"
BPS Madison Park High,Teacher,"119,647.68",,,,,,"119,647.68"
Boston Police Department,Police Officer,"81,824.56",800,"23,577.20",,"13,432.00",,"119,633.76"
Early Learning Services,Program Director (Basas 9),"119,124.04",500,,,,,"119,624.04"
Hurley K-8,Teacher,"115,150.74","4,464.00",,,,,"119,614.74"
Newcomers Academy,Teacher,"115,626.24","3,987.18",,,,,"119,613.42"
BPS Facility Management,Area Manager,"117,740.74","1,870.00",,,,,"119,610.74"
BPS Chittick Elementary,Teacher,"119,581.58",,,,,,"119,581.58"
Dudley St. Neighborhood School,Teacher,"118,578.72","1,000.00",,,,,"119,578.72"
Umana Middle,Teacher,"118,660.88",913,,,,,"119,573.88"
Boston Police Department,Police Offc/Bomb Squad,"103,651.69",800,"8,636.24","5,195.25","1,288.00",,"119,571.18"
BPS Madison Park High,Teacher,"119,263.04",300,,,,,"119,563.04"
Boston Police Department,Police Officer,,"10,409.18",,"90,957.32",,"18,191.28","119,557.78"
Greater Egleston High,Teacher,"114,155.32","5,400.00",,,,,"119,555.32"
BPS Brighton High,Teacher,"119,554.35",,,,,,"119,554.35"
Boston Police Department,Police Officer,"74,491.70",800,"31,701.29",,"12,558.00",,"119,550.99"
BPS Winthrop Elementary,Teacher,"118,929.28",620.88,,,,,"119,550.16"
Boston Fire Department,Fire Fighter-Technician,"91,162.97",550,"27,825.20",,,,"119,538.17"
BPS McKinley Middle,Teacher,"119,537.45",,,,,,"119,537.45"
BPS Boston Latin,Teacher,"119,533.44",,,,,,"119,533.44"
Boston Police Department,Criminalist III,"100,040.47","1,905.59","17,580.33",,,,"119,526.39"
BPS Boston Latin,Teacher,"118,641.84",881,,,,,"119,522.84"
BPS Special Education,Speech & Language Pathologist,"119,519.64",,,,,,"119,519.64"
BPS Special Education,Speech & Language Pathologist,"119,169.48",350,,,,,"119,519.48"
Office of Equity,Spec Asst IV,"119,594.57",-100,,,,,"119,494.57"
BPS Murphy Elementary,Teacher,"112,894.60","6,596.85",,,,,"119,491.45"
Boston Police Department,Police Officer,,"4,260.38",,"96,025.58",,"19,205.22","119,491.18"
Traffic Division,Traffic Signal Supv,"109,730.50","2,080.20","7,675.87",,,,"119,486.57"
BPS Counseling Service,School Psychologist(1),"111,484.26","8,000.00",,,,,"119,484.26"
BPS Sumner Elementary,Teacher,"115,783.56","3,700.00",,,,,"119,483.56"
Mission Hill K-8,Teacher,"119,230.36",250,,,,,"119,480.36"
Boston Police Department,Police Offc Mobile Offc 2$6,,"15,438.75",,"94,582.28",,"9,458.28","119,479.31"
BPS Latin Academy,Guidance Counselor(1),"117,478.92","2,000.00",,,,,"119,478.92"
Treasury-Treasury Division,Employment Agreement,"119,475.00",,,,,,"119,475.00"
Mildred Avenue K-8,Teacher,"117,921.44","1,552.20",,,,,"119,473.64"
Boston Police Department,Police Officer,"98,965.90","10,607.45",,,,"9,896.76","119,470.11"
Mattahunt Elementary School,Teacher,"118,660.88",800,,,,,"119,460.88"
BPS Horace Mann,Teacher,"119,460.46",,,,,,"119,460.46"
Tech Boston Academy,Teacher,"117,618.18","1,834.80",,,,,"119,452.98"
BPS McKinley Middle,Guidance Advisor(1),"119,448.94",,,,,,"119,448.94"
Boston Police Department,Police Officer,"91,784.20",800,"10,842.01",,"16,008.00",,"119,434.21"
BPS Charlestown High,SpEd Support Svcs Coordinator,"119,431.74",,,,,,"119,431.74"
Boston Police Department,Police Detective,"111,667.80",800,"6,942.31",,,,"119,410.11"
Boston Police Department,Police Officer,,"15,353.29",,"94,596.32",,"9,459.84","119,409.45"
BPS Blackstone Elementary,Specialist (BTU),"117,462.60","1,933.92",,,,,"119,396.52"
Umana Middle,Teacher,"115,704.60","3,686.38",,,,,"119,390.98"
Edison K-8,Teacher,"116,687.16","2,703.48",,,,,"119,390.64"
Boston Fire Department,Fire Fighter-Technician,"95,813.88",550,"23,022.72",,,,"119,386.60"
"Kennedy, PJ Elementary",Teacher,"118,384.04","1,000.00",,,,,"119,384.04"
BPS Boston Comm Leadership Ac,Teacher,"114,872.68","4,500.00",,,,,"119,372.68"
BPS Boston Arts Academy,Teacher,"115,870.63","3,499.88",,,,,"119,370.51"
Boston Police Department,Police Officer,"83,101.60",800,"24,117.21",,"3,496.00","7,854.23","119,369.04"
BPS Special Education,Physical Therapist,"119,365.88",,,,,,"119,365.88"
Henderson Elementary,Teacher,"119,354.04",,,,,,"119,354.04"
BPS Madison Park High,Social Worker/Coordinator,"119,352.74",,,,,,"119,352.74"
Parks Department,Supn-Park Maint,"98,971.21",500,"19,877.49",,,,"119,348.70"
BPS Hale Elementary,Teacher,"118,397.40",931.32,,,,,"119,328.72"
Boston Police Department,Police Officer,"91,453.45",800,"22,327.74",330.75,"4,416.00",,"119,327.94"
Boston Police Department,Police Officer,"108,038.52",800,"10,116.78",,368,,"119,323.30"
Warren/Prescott K-8,Teacher,"113,501.12","5,813.50",,,,,"119,314.62"
Boston Police Department,Police Officer,"84,295.17",800,"16,620.65",,736,"16,858.99","119,310.81"
BPS Facility Mgmt/A & R,Sen Supv Schl Bldg Electrical,"94,937.18","2,601.00","21,771.70",,,,"119,309.88"
BPS East Boston High,Teacher,"118,301.88","1,000.00",,,,,"119,301.88"
Edison K-8,Teacher,"112,399.28","6,895.00",,,,,"119,294.28"
Tobin K-8,Director Of Instruction,"114,941.03","4,350.00",,,,,"119,291.03"
Boston Retirement System,Asst Corp Counsel IV (LAW),"117,111.08","2,179.75",,,,,"119,290.83"
"Kennedy, EM Health Academy",Teacher,"117,290.06","2,000.00",,,,,"119,290.06"
Boston Police Department,Criminalist IV,"116,446.17",,"2,842.95",,,,"119,289.12"
Boston Police Department,Police Offc Comm Serv Offc 3$8,"43,669.12","32,376.96","1,580.89",,"30,912.00","10,748.67","119,287.64"
BPS Mozart Elementary,Teacher,"119,287.48",,,,,,"119,287.48"
Boston Police Department,Police Officer,"93,701.79","6,311.88","5,447.05",,,"13,822.29","119,283.01"
Henderson Elementary,Teacher,"118,578.72",700,,,,,"119,278.72"
Haley Pilot,Teacher,"119,270.36",,,,,,"119,270.36"
BPS Charlestown High,Instructional Coach,"103,743.42","15,522.42",,,,,"119,265.84"
BPS Alternative Education HS,Teacher,"116,510.68","2,750.00",,,,,"119,260.68"
Young Achievers K-8,Specialist (BTU),"118,257.36","1,000.00",,,,,"119,257.36"
BPS Horace Mann,Teacher,"116,556.70","2,700.00",,,,,"119,256.70"
BPS Quincy Elementary,Teacher,"119,245.88",,,,,,"119,245.88"
BPS Horace Mann,Teacher,"119,245.10",,,,,,"119,245.10"
BPS Horace Mann,Teacher,"119,245.10",,,,,,"119,245.10"
Boston Police Department,Police Officer,,"16,634.09",,"102,596.52",,,"119,230.61"
BPS Orchard Gardens K-8 Pilot,Teacher,"116,229.42","3,000.00",,,,,"119,229.42"
BPS Madison Park High,Clinical Coordinator,"118,727.34",500,,,,,"119,227.34"
Boston Fire Department,Hvy Mtr Equip Repairperson BFD,"68,097.66",650,"50,478.20",,,,"119,225.86"
BPS Mckay Elementary,Teacher,"117,609.68","1,615.00",,,,,"119,224.68"
Quincy Upper School,Teacher,"113,618.18","5,600.00",,,,,"119,218.18"
Henderson Elementary,Teacher,"119,215.04",,,,,,"119,215.04"
BPS Trotter Elementary,Teacher,"119,207.98",,,,,,"119,207.98"
BPS Bradley Elementary,Teacher,"117,187.96","2,000.00",,,,,"119,187.96"
BPS Alternative Education HS,Teacher,"118,778.92",405,,,,,"119,183.92"
Boston Police Department,Police Officer,"68,714.12","2,453.77","25,961.04",330.75,"7,912.00","13,808.84","119,180.52"
BPS Human Resource Team,Teacher,"119,177.58",,,,,,"119,177.58"
BPS Special Education,Occupational Therapist,"119,175.66",,,,,,"119,175.66"
BPS McKinley Middle,Teacher,"119,172.10",,,,,,"119,172.10"
Boston Police Department,Police Officer,"72,763.85",800,"42,037.79",992.26,"2,576.00",,"119,169.90"
Jackson/Mann K-8,Teacher,"119,168.76",,,,,,"119,168.76"
Jackson/Mann K-8,Teacher,"118,660.88",500,,,,,"119,160.88"
Roosevelt K-8,Asst Principal Elementary,"114,681.67",500,,,,,"119,158.74"
Newcomers Academy,Teacher,"118,654.12",500,,,,,"119,154.12"
Curley K-8,Teacher,"118,146.28","1,000.00",,,,,"119,146.28"
BPS O'Bryant School,Teacher,"119,135.50",,,,,,"119,135.50"
BPS Hennigan Elementary,Teacher,"115,777.20","3,357.64",,,,,"119,134.84"
BPS Chittick Elementary,Teacher,"112,399.28","6,735.27",,,,,"119,134.55"
BPS School Safety Service,Asst Director (D) (non ac),"119,117.96",,,,,,"119,117.96"
Teaching & Learning,Director D (ACAD),"119,117.96",,,,,,"119,117.96"
BPS Cl#10 Lee Academy,Teacher,"119,111.82",,,,,,"119,111.82"
Hurley K-8,Teacher,"118,861.08",250,,,,,"119,111.08"
Jackson/Mann K-8,SpEd Support Svcs Coordinator,"118,261.00",848,,,,,"119,109.00"
BPS Capital Planning Unit,Sen Analyst(C),"119,253.94",-150,,,,,"119,103.94"
BPS Snowden International Hi,Teacher,"113,603.20","5,500.00",,,,,"119,103.20"
BPS Special Education,Speech & Language Pathologist,"118,778.92",320,,,,,"119,098.92"
Kilmer K-8,Teacher,"119,097.10",,,,,,"119,097.10"
BPS Snowden International Hi,Teacher,"119,094.28",,,,,,"119,094.28"
Boston Police Department,Police Officer,"59,292.25",800,"32,588.00",,"8,096.00","18,313.46","119,089.71"
BPS Special Education,SpEd Support Svcs Coordinator,"119,086.60",,,,,,"119,086.60"
HPEC: Com Acd Science & Health,Teacher,"119,086.60",,,,,,"119,086.60"
BPS Brighton High,Community Field Coordinator,"112,024.55","7,050.00",,,,,"119,074.55"
"Kennedy, JF Elementary",Teacher,"117,295.52","1,775.00",,,,,"119,070.52"
Boston Police Department,Police Officer,"90,461.18",800,"22,940.70","1,323.02","3,542.00",,"119,066.90"
Dpt of Innovation & Technology,Chief Digital Officer,"114,557.73","4,500.48",,,,,"119,058.21"
Office of Admin & Finance,Special Advisor,"93,368.82","25,685.70",,,,,"119,054.52"
BPS Boston Latin,Teacher,"110,696.00","8,347.08",,,,,"119,043.08"
BPS Beethoven Elementary,Teacher,"115,972.48","3,060.00",,,,,"119,032.48"
BPS Quincy Elementary,Teacher,"118,129.38",900,,,,,"119,029.38"
BPS Boston Arts Academy,Teacher,"110,212.18","8,801.74",,,,,"119,013.92"
BPS Carter Center,Nurse,"118,806.48",200,,,,,"119,006.48"
Treasury-Treasury Division,DirCommunityPreservaCommittee,"118,989.04",,,,,,"118,989.04"
Inspectional Services Dept,Wire Inspector,"93,376.51","4,100.06","21,509.09",,,,"118,985.66"
Roosevelt K-8,Teacher,"118,483.80",500,,,,,"118,983.80"
West Zone ELC,Social Worker/Coordinator,"118,178.84",800,,,,,"118,978.84"
BPS Mckay Elementary,Teacher,"115,191.54","3,775.00",,,,,"118,966.54"
Boston Police Department,Police Officer,,"6,219.84",,"93,944.24",,"18,788.64","118,952.72"
Boston Police Department,Police Officer,,800,,"98,460.74",,"19,691.94","118,952.68"
BPS Trotter Elementary,Teacher,"117,796.58","1,155.27",,,,,"118,951.85"
BTU Pilot,Teacher,"117,515.40","1,428.00",,,,,"118,943.40"
Boston Fire Department,Case Manager (Fire Dept.),"108,170.66","2,080.21","8,692.28",,,,"118,943.15"
BPS Chittick Elementary,Teacher,"118,943.00",,,,,,"118,943.00"
BPS Ellis Elementary,Teacher,"116,006.58","2,931.32",,,,,"118,937.90"
BPS South Boston HS - Excel,Teacher,"117,234.89","1,700.00",,,,,"118,934.89"
