ratings,dates,review_text
5,2018-01-12,"The Apple Pumpkin scent is my overall favorite candle, even though I dislike both scents separately. Together, they make a great fall food scent that isn't heavy on spices, so it easily fills a room without becoming overpowering."
5,2022-04-28,"I got this candle for my mom for mother's day, and she said it smells wonderful! 👍"
5,2020-01-02,My new favorite smell. I have been using this non stop for 2 months. Still going strong.
5,2022-01-13,Hands down one of the best cold season scents with long lasting burning!
5,2020-01-14,I love the quality of the yankee candlesMy friend loves this scent so it was a great gift.
5,2020-01-12,Just what I expected. Burned it everyday for almost a month. Great sweet scent that filled the house. Burned almost to the very bottom - not much was wasted. Lovely candle! Worth the $ although I did purchase for a discounted price.
5,2020-05-21,Used for lighting up my living room and to freshen up the smell. Product was well worth the price and lasted about 130 hours.
5,2020-03-29,"Love this candle, it smells wonderful & last for a long time."
5,2019-04-26,Smelled wonderful lit or unlit. Should include candy with it.lol just a wonderful product and who doesn't love a candle?
5,2020-08-24,My daughter loved it and so do I lovely scent
5,2020-06-02,"Great candles, that you would expect from Yankee"
5,2022-07-01,loved it
5,2019-04-23,Smells amazing! My new favorite candle and I’m very picky!!!
5,2020-12-19,I really liked this scent
5,2020-09-09,Excellent fragrance as to be expected from yankee.
5,2020-02-17,I want a whole case of these candles. Literally the best scent EVER.
5,2020-01-08,My husbands favorite. He always comments on how good the house smells when I light this candle.
5,2020-12-26,Great
5,2020-06-12,"This is my go-to candle for a vanilla scent, it's perfect for any occasion!"
5,2020-02-17,This scent is so great that I now subscribe every 2 months for this candle.
5,2020-11-25,My gf said this is her favorite
5,2019-09-30,The candle arrived well packaged and was not famaged. The scent permeates the entire two story home. I highly recommend Yankee candles! The candle also makes a great gift!
5,2019-11-25,Wonderful candle!!!! Burn it in my office and people absolutely love it!! Don’t even think I can switch to a Christmas scent....calms me so very much❤️
5,2020-09-07,Good price and nice product.
5,2020-11-10,Can't go wrong with Yankee Candles.
5,2020-07-19,I love this scent of this candle and I'm happy with my purchase thank you Amazon
5,2019-05-24,I loved the scent! It was comforting and the cinnamon was not the high note of this smell. It was sweet and cozy.
5,2020-05-26,Was a great price.smells amazing burns long
5,2020-06-11,"I’m so impressed with the quality of Yankee Candle products! I prefer the natural vanilla scent over some of their more creative concoctions, and think it makes a great and useful gift. You can never have too many Yankee Candles!"
5,2020-08-05,The two wick type is better than the jars with one. Even burning all around
5,2018-10-29,Loved this candle. I’m my opinion it has a hint of maple syrup scent mixed with buttercream. I kept thinking someone had recently made pancakes.
5,2020-05-20,Bought this for a friend- she loved it.
5,2019-02-04,Love Yankee Candle awesome smell long lasting candles and better price than Ive seen anywhere else ..Oh and the free shipping cant go wrong.
5,2020-09-12,Mom loves these
5,2019-02-09,"My teenage son’s friend walked into my home and said, “it smells good in here.” He’s never said that before. I think this one’s a winner!"
5,2019-11-24,I am a Yankee Candle addict and when I can get them at this price I am in heaven
5,2020-12-16,They don’t always burn evenly.
5,2021-03-24,Wonderful shopping experience
5,2017-07-10,Easily my favorite candle.  We've since moved to wax melts in my house but we still love anything buttercream because it makes it seem like someone is baking in the kitchen.  Very comforting and relaxing smell.
5,2020-12-28,"I loved my candle. It’s smell was luxurious and filled the room. Unfortunately, it lasted a week only because I burned it constantly."
5,2020-10-10,This is one of my favorite smells and I am so glad I was able to find it on here for almost half the price.  Yankee candles last so long and they are amazing!!
5,2021-02-15,"Yup, it was a Yankee candle."
5,2019-09-05,If you love chocolate this is the candle for you . Smells like brownies in the oven .
5,2020-12-21,Favorite scented candle. Bought them for xmas gifts.
5,2022-03-22,"Reasonable and long lasting!Sit back, & chill Out, to A NOSE FULL of ENJOYMENT!"
5,2020-12-29,Smell great. My step-mom loved it
5,2020-09-19,ABSOLUTELY FANTASTIC
5,2020-09-09,Such a lovely scent!!!
5,2021-12-15,The scent is very nice
5,2018-01-13,"A soft, warm wintery scent that has a cozy aroma to fill a room.  Not overpowering. Nice with the ambiance of a fire in the fire place and a cup of hot tea on a cold wintery day!"
5,2020-09-23,Very nice fragrance!
5,2021-10-13,"I've bought half a dozen vanilla candles, and this was the best."
5,2020-08-12,Love this scent in the fall
5,2021-03-15,Smells like brownies cooking
5,2020-10-19,Quality
5,2019-09-12,Yankee Candle what else can you say? Long lasting great smelling and at excellent prices
5,2020-01-02,It was exactly as you’d buy from the store. Came in perfect condition and it’s a family favorite scent; especially around the holidays!
5,2020-10-31,Love the scent !  Will use for the holidays  !!
5,2020-03-07,"Love it keep ordering again & again , smells amazing"
5,2020-09-04,Smells so good and comforting!
5,2021-02-16,"Love product , it has a long lasting scent and I would recommend to a friend!👍"
5,2021-09-07,Best fall scent ever ….
5,2018-06-01,I lovoe this scent and burn it throughout the year.  It is nothing like smelling baking going on in the kitchen.
5,2018-01-02,This scent is intoxicating! Smells just like freshly baked chocolate cake. Yankee Candle should sell it year 'round. Absolutely love it!
5,2020-10-01,Got them on sale.
5,2021-04-08,The smell
5,2020-01-09,Much better price than in their official web site.  Love this candle
5,2020-09-05,Love this candle
5,2018-03-27,"This could be one of my favorites. Bakery Air is just that...a divine mix of baking scents that fragrance my home in a cozy way. I'll be buying again. Thanks, Yankee!!!!"
5,2020-03-20,This was given as a gift.  She thoroughly enjoyed it!!
5,2020-03-20,Burned long and scent was good in a short distance.
5,2022-04-13,Very disappointed in Yankee candle. First one I have bought in years. There is absolutely no smell in this candle.
5,2020-01-14,Nice holiday fragrance. Yankee Candles continue to be the best.
5,2018-03-05,"This is our second yankee candle with this same scent. I love to fill the house with this scent. My husband and I can’t tolerate many smells, but we love this one"
5,2019-12-13,"I am astounded by the longevity of these candles, may cost more but lasts much much longer than cheaper candles."
5,2020-10-17,Love them
5,2020-05-07,"Beautifully scented candle, once lit, within 10-15 minutes the sweet smell of pastry filled the room. It was so nice my mother had me get her one also!"
5,2020-04-15,Smells wonderful!  Just want I needed!
5,2020-08-30,This one is also a Christmas favorite!  Yankee always has the best throw and scent.
5,2020-03-10,Awesome fragrances of long lasting candles !!
5,2018-11-01,The candles are really nice and I burn them on a daily basis to make my house smell good.  The delivery was fast and packed very well.
5,2022-02-06,I have used this brand for decades and am never disappointed.
5,2020-11-09,Always been very pleased with Yankee candles
5,2018-10-26,I really like the French vanilla scent. It’s mild and not overpowering. Product came in excellent condition. I’m very pleased with it.
5,2020-09-25,A great buy
5,2018-04-02,Yankee candles have great aroma and long burn time. Love them but they can be cost prohibitive. This one was the best price I could find and I would order again.
5,2020-10-10,The scent is amazing! Highly recommend
5,2020-05-04,I love this candle!!  Smells amazing!!
5,2020-01-11,Came on time. Gifted to my daughter and she loved the scent.
5,2020-06-13,Smells good and lasts a long time. Good product for it's price.
5,2020-04-20,Scent was not overpowering but efficient. I will buy again.
5,2021-11-07,Many people tell me how nice my house smells. I tell them where I got it and what the scent is. Friends have ordered them from Amazon because of me
5,2020-07-26,Always love Yankee Candles.
5,2019-11-20,I love the low price on these candles.They last a long time and make your home seem warmer.
5,2020-09-11,large candle
5,2020-03-13,"This is an awesome scent,  and quality candle!!!"
5,2019-03-23,"Love this candle, have three of them.  Beautiful scent and the price from Amazon is wonderful.  LOVE you guys."
5,2020-05-05,Wonderful gift scent longevity
5,2020-02-10,This product does not leave black smoke when you light the candle or when you put it out
5,2020-12-08,Very pleased with the candle
5,2018-02-16,Honestly I think Bath and Body works candles are much more fragrant  Yankee candle has faltered and probably won’t buy any more of them
5,2021-03-01,The smell of vanilla is absolutely amazing. It lasts usually pretty long which is really great. I gifted it to my mother and she loved it.
5,2018-11-28,"Yankee Candles just smell better and last longer than any other candles out there. This scent is strong, warm, and very pleasing. I buy one every single Fall."
5,2019-12-07,Title says it all. Always get my mom one of these for her birthday.
5,2020-11-06,This candle smells amazing and it burns for a very long time.
5,2020-12-27,Always amazing
5,2020-01-08,This is our favorite Yankee scent for Fall and Winter.
5,2020-01-07,got this for my apt. and makes the whole place smell good
5,2020-10-22,Love this scent. Been burning this in the fall for the last 20 years!
5,2016-01-12,"My new and favorite scent, it's a strong throwing authentic chocolate scented candle. I get a more icing then a cake scent but nevertheless it is a great candle. If you love chocolate try this if you don't like chocolate then you should pass."
5,2020-04-28,Smells like caramel popcorn to me...yum
5,2022-07-15,The scent from vanilla cupcake candle is better than the one from midnight summer's candle. Smells really nice!
5,2020-07-28,Smells soooo good
5,2020-07-28,"It appears that Yankee Candle has discontinued this scent which is a crime, it is the best smelling candle I have ever purchased. It has a sweet but woodsy smell and perfect for any season."
5,2018-12-12,"This candle smells just like a chocolate cake, which I can’t get enough of .  Love it , thank you Yankee candle..."
5,2020-06-25,Smells great and burns slow
5,2016-08-18,Love this smell! It is the perfect combination of apple and pumpkin. Lasted throughout autumn and made several rooms smell wonderful.
5,2019-07-17,"This was a gift for my husband.  It's one of his favorite scents, but not mine!"
5,2020-03-19,This is one of my favorite scents.  Very relaxing.
5,2021-02-23,Smell sooo good
5,2018-03-23,"This is my all time favorite Yankee Candle, and it comes right in a safe Yankee Candle carton. And it smells REALLY nice!! I always get my YC fom Amazon !!"
5,2020-01-28,This is my daughter in laws favorite candles
5,2019-12-28,Obviously love this candle . Have a subscription.
5,2020-01-24,Great smell. Lasts longer than most candles. Great price.
5,2020-08-05,Smelled yummy.
5,2021-12-28,Great Candle!
5,2021-06-13,Yankee candles scents never fade
5,2020-01-01,Bought as a gift. They loved it. Smelled great!
5,2020-11-23,Love this product
5,2019-06-26,My mother loves this candle.She hasn't burned it yet but you can smell it in her room
5,2019-12-30,Great price. All my daughters was happy with the scent.
5,2017-01-05,I usually use McIntosh in my kitchen but I decided to change it up a little  and try the kitchen spice out.  Glad I did!  Not overpowering and I enjoyed the spicy change. Will continue to burn both fragrances... love them both
5,2020-11-27,Lasts long
5,2020-01-25,Love this candle smells really good and last long.
5,2018-11-07,"Perfect, as always!  My allergies are not kind with a lot of scents.  French Vanilla is a safe option for me and I love it!"
5,2019-07-30,"Yankee always great, Burns alot slower then the cheaper candles at local store."
5,2020-02-25,Love this candle and love the price!
5,2020-01-26,Great smell even when not lit. Candle burns a little fast
5,2020-03-01,Lovely scent that permeates several rooms.
5,2018-12-15,Strong scent. Large size for the money. We love it. My whole 1700sf home smells awesome while this is burning.
5,2020-12-27,Great like always
5,2021-04-20,Great candle.
5,2020-12-19,Amazing candles. Purchased as a Christmas gift for teachers and they LOVED them. Yankee candle is always a winner.
5,2019-12-24,Love these candles. This is one of my favorite scents.
5,2020-09-02,😘
5,2020-08-24,Love it
5,2022-01-03,Just what I wanted
5,2020-03-14,"Like the scent, wish it had more throw"
5,2019-09-17,Great
5,2017-10-26,"Great seasonal candle. Pleasant scent, not overwhelming! We noticed more of the apple aroma than the pumpkin, but overall a nice balance. Quality Yankee Candle product."
5,2020-02-04,Gift for my sister. She loved it! Great price
5,2021-10-26,I have a candle lit morning to bedtime!
5,2018-09-09,I only buy them when they are less than $15.  They are very pleasant smelling candles that really make the house smell good.
5,2019-11-08,"WE BURN CANDLES EACH AND EVERY DAY ,MY WIFE REALLY LOVES THESE CANDLES"
5,2021-06-24,"fast shipping, good quality"
5,2020-11-18,Dont undersand the reviews saying the scent doesnt last. Works exactly like any yankee candle ive ever had.
5,2019-12-07,Yankee candles are high quality long lasting and produce less smoke
5,2019-11-05,This candle smells great burns evenly and lasts a long time.
5,2020-12-26,"Giftable, great price"
5,2019-12-13,Yankee candles seem to have the most scent when burning!  We have tried other brands but we keep coming back to Yankee candles!
5,2016-02-16,"You are either a fan of Yankee candles or you are not.  I am.  This sparkling cinnamon is my favorite and the house smells great when using it.  As an elderly consumer, I like the ease of having it delivered to my door."
5,2020-02-28,"I have since ordered more yankee candles from amazon, prefer the two wick tumbler, but couldn't beat the price for the large jar....I did get an amazing deal on the two wick tumblers too!"
5,2019-06-16,The packaging was handled with love n care very worth it moneySmells delicious and last a long timeHighly recommend
5,2018-01-14,I love yankee candles. This is my new favorite scent. It smells like fall and everything fantastic. This scent is very strong and has a great throw.
5,2020-01-21,Nice product like most of Yankee candles are.
5,2018-08-26,This is my favorite smell in the world. Please keep making this product just so I can light it and smile when I smell this
5,2020-05-05,My Favorite! Great Smell!
5,2020-03-04,Big candle lasts a long time.
5,2020-05-11,A gift that is cherished
5,2020-10-23,Nice.
5,2020-01-10,"The scent is super strong on this candle. I like it but it may be too strong for some people. I lit it for an hour or two after work yesterday and I could still smell it when I got home from work today. The salted caramel scent is super sweet and I kind of wish I had gotten a different one, but that's definitely my own fault"
5,2020-01-27,It smells so good. I love the smell.
5,2019-01-23,This smells wonderful and burns for so much longer than inexpensive candles. Well worth the money.
5,2020-02-09,My favorite candleGREAT price!!
5,2019-12-10,You can't go wrong with this Yankee Candle. It is just so expensive!! That's the only downside.
5,2020-09-15,Smells great!
5,2019-07-05,I purchase these candles regularly. The are long lasting and smell amazing.
5,2020-01-13,You can never go wrong with a Yankee Candle!
5,2018-05-11,Packing was wonderful!!  I have always loved Yankee Candles (especially French Vanilla).
5,2020-10-24,"Great quality candles, love the scent. Very homey"
5,2021-08-01,Absolutely LOVE it
5,2019-11-26,Wonderful scent of pumpkin spice. Must have for fall!
5,2019-10-09,A nice gift idea however I just enjoy the scent in my house .
5,2022-08-01,Decent pumpkin spice/autumn scent but it was a little weak for my liking
5,2019-01-22,Came in a Yankle Candle packaging box that made it perfect to wrap for a Christmas gift. Smells divine!
5,2019-06-28,"You always get quality with Yankee Candle, and I enjoy this scent all year round."
5,2021-03-18,"Smells like you just baked a yummy cake ! Cant beat for the $16.99 price, lasts so long"
5,2016-02-12,"Yankee Candles smell great and always burn slow and evenly.  Good distribution even in a large space, just fills the room with a pleasant smell.  I like the vanilla cupcake scent as a year round delight, it really matches the description quite well and my home smells delicious!"
5,2020-10-16,Hours of candlelight & the sent is wonderful!
5,2020-05-14,I always love the scent if Yankee candles.
5,2019-07-19,"LOVE this candle. It smells so delicious, I get so many compliments on it."
5,2020-12-02,Great Fall Scent that lasts long.  Well boxed.
5,2019-02-26,Have always bought Yankee Candles and been pleased with smell and burn time. Like  price on sale.
5,2019-05-09,Yankee candle just as expected. Excellent quality. Great scent. Would buy again
5,2014-05-08,"The summer scoop scent is my favorite from Yankee. I don't get to the mall too often so I purchased a new one and it arrived n perfect shape!  I was worried due to the glass, but this was packaged very well.  Would buy again!"
5,2020-01-18,I’ve been buying these for over 20 years.
5,2020-02-14,Yankee Candles are the best quality!
5,2020-03-01,I really like this candle
5,2019-12-22,Very nice scent . Arrived in perfect condition as it was packaged really well for shipping.  Would recommend and purchase again.
5,2020-12-23,Great candle. Smells good and lasts long
5,2018-01-31,Its hard to find a cinnamon candle. They are usually pared with another scent or they are not fragrant enough. I was very pleased with this product.
5,2021-03-11,Loved it and the smell was amazing
5,2019-12-30,Yankee candles are one of my most favorite brands! Was delivered in perfect condition and the scent is amazing. Will definitely be purchasing again!
5,2020-05-07,I love my yankee candle
5,2018-01-29,"Smells good, burns a long time & burns all the way. by tat I mean it does not just burn a little hole in the middle & waste the rest of the wax."
5,2019-04-30,love this candle it smells so good it so nice to just set an let the smell take u away.
5,2017-07-29,"Perfect for winter, this scent is strong and will fill your house with that warm homey smell. I love both apple and pumpkin so this was perfect for me. Loved it."
5,2021-01-11,I LOVE THIS
5,2020-03-23,It is as advertised.
5,2021-03-22,"If you love the smell of chocolate baked goods or always imagined yourself walking through Wonka's Chocolate Factory, this candle is for you."
5,2019-12-06,Yankee never disappoints.  This is my very favorite scent and the value was incredible.
5,2020-03-17,"Smells amazing, long lasting"
5,2020-02-03,Just as describedPackaged well
5,2020-01-14,Love this candle. Love the scent. Lasts for ever.
5,2018-11-22,Love the smell and that Yankee candles last longer than most brands...I would recommend any of their scents!
5,2018-10-12,Smells like dessert. Amazing. Why are they so expensive though?
5,2019-11-14,Smells great!! Filled our living room with a great aroma quickly! Was on sale for around $15!! Would definitely get again!!
5,2020-02-21,Reminds me of Cracker Barrel !!!
5,2021-01-27,I got a lighter and tried to light the candle. It worked! Fire! ......it’s definitely a real candle. Smells amazing
5,2017-01-19,"Great candle to get through the winter blahs - spicy, strong, warm scent works through the holidays and on through the first part of the year before I get out the spring florals."
5,2020-03-06,Wonderful long lasting scent!
5,2019-01-11,"Yankee candles are my mother in laws obsession but they’re so pricey. This one was a great price, smells awesome and she loved this."
5,2020-03-11,I just love all the candles I have received.
5,2019-06-18,Smells wonderful candle lasts a long time glass jar with top makes it safe
5,2020-03-13,Always enjoy the quality of Yankee candles.
5,2022-07-26,I have none.  They burn then there gone.
5,2020-02-10,"Great scent, last very long too!"
5,2020-04-20,Smells Good
5,2020-05-15,Great product!
5,2022-05-17,Delicious and long lasting fragrance
5,2020-03-12,Great candle with wonderful scent.
5,2020-12-17,Loved it
5,2021-01-27,great bargain
5,2020-06-19,My wife likes this fragrance in combination with a couple of others.  It is very hard to find out of season which is why we were happy to find it here.
5,2020-03-08,Gave it for a gift
5,2020-01-25,Perfect for myself or a gift. Favorite scent. Fast delivery!
5,2021-10-29,A gift for my little sis. She loved it!
5,2019-12-11,What's not to love except they burn away
5,2019-12-18,Arrived unbroken and smells great
5,2019-03-05,I needed a candle to replace out I had for quite some time.  Searched around and landed on this one.  I is a good quality candle and burns clean.  The fragrance is nice an not too strong.  I would recommend.
5,2016-08-01,"Best candle I ever had. Everyone who came in complimented it. And asked ""what are you baking?"" They thought I was baking brownies or chocolate cake :-) definitely going to order a few more!"
5,2020-03-22,Smells amazing
5,2019-12-11,I bought this candle on sale and wish I had bought 10 of them!
5,2020-03-23,Tremenda aroma
5,2020-02-09,Great buy. Smells awesome!
5,2020-05-30,Love it!
5,2019-12-09,Yankee Candles are always perfect
5,2019-12-28,Apple pumpkin is my absolute favorite fall scent!
5,2020-02-14,I love everything about Yankee candles
5,2020-02-06,Great product and great price
5,2020-03-10,love this scent
5,2020-04-20,Smells Good
5,2019-12-28,Full of Central Park memories in the fall
5,2019-05-15,Always great quality from yankee..but this one was also a bargain !!
5,2020-02-19,For the price ...it’s great
5,2018-03-08,Smells like fresh baked cookies in the house. Great price for a great product. Must trim Wick for longer lasting candle. Will buy again for sure. Much cheaper then Yankee Candle Store.
5,2020-09-23,Smells like fall
5,2020-02-26,Love everything about it
5,2019-01-18,"Can't get enough of this scent...its not just for the holidays, its for any special evening."
5,2019-12-14,Smells wonderful! I love Yankee candles.
5,2021-07-08,Mother in law loves it
5,2015-06-27,The BEST scented candle Yankee makes. And it's not just for the kitchen. I visited the store and was told its a seasonal scent so I was quite pleased when Amazon had plenty. Very happy customer!
5,2020-05-16,Delivered faster than I could even believe! Product as described and I am pleased with purchase
5,2020-01-17,I love the smell. Perfect for the bathroom or any room.
5,2019-12-22,Love the scent.  Isn’t very strong.
5,2018-08-22,"I would buy again even though it made me crave brownies & chocolate chip cookies! My house smelled so good! My son's friends, teenagers, had to ask about it when they were in the house. They loved it & so did I!"
5,2020-01-10,I like the Spicy pumpkin smell!
5,2021-03-14,"Really nice scent, very good vanilla scent. Lasted quite awhile and was really great!"
5,2022-03-22,Great price
5,2022-02-10,Must like chocolate smell
5,2020-05-05,Excellent
5,2019-01-07,They smell great for  Christmas time.  Little expensive but nice to have once in a while.
5,2020-10-28,Very pleased with the candle. It is an original and genuine Yankee candle. The scent is amazing and stays lit for hours!
5,2020-04-20,Smells Good
5,2017-05-19,Love Yankee Candles! Have enjoyed them for years. The Kitchen Spice fragrance is one of my favorites for the kitchen. Can't go wrong with Yankee Candles!!!!
5,2020-11-09,Smells amazing!!!
5,2020-10-29,Smells great! Fall scent that will last into winter!
5,2021-04-23,I love this candle it has the smell of vaniella very soft smell my favorite
5,2020-09-13,Love this candle smells great
5,2019-01-10,I only wish they would last longer. I gave this as a gift and its a good thing I gifted 2!
5,2017-02-14,This was a great gift for my sister. I could get this gift for anyone anytime. Yankee candles are the longest burning and best smelling candles that I have ever purchased.
5,2019-01-01,Very pleased with tyhr fast  curtious  service  mo complaints  yankee candled are gor goftd
5,2020-03-14,Smells like syrup
5,2020-11-18,Perfect smell for the holiday season!
5,2018-10-11,Tried many Yankee and this one of my 3 favorites. Not overwhelming nor perfume-like smell.  Lasts long
5,2020-01-27,Smells awesome... Good Yankee candle
5,2018-10-11,"Great candle, doesnt burn too quickly. Bought several scents at once and this is by far my favorite! Smells great in the kitchen."
5,2017-10-24,Lovely holiday or baking smells.  One candle fills up the house.  Even my picky boys thought it smelled nice.  Package and shipped fantastically!
5,2021-10-21,One of my favorite scents and lasts a long time. Perfect for your own home or as a gift
5,2021-02-17,Just what I wanted.
5,2020-01-09,More detail:  Smells so nice
5,2019-07-07,No matter where we go it's too expensive to buy that brand
5,2019-11-17,Great price...bought on a deal
5,2022-06-20,You can never go wrong with any Yankee Candle!
5,2020-02-13,Great smelling candles
5,2019-07-19,"Love it. Burns perfect, scent amazing, and very inexpensive."
5,2020-04-05,Smells good!
5,2016-06-20,Yankee Candles are always high quality.  I found this one on sale at Amazon and made a quick purchase.  The candle is still going strong and has a very pleasant aroma.  Good purchase.
5,2020-10-01,It is very nice and an excellent gift.
5,2020-01-18,This was once of the gifts for my bestie. She loved it.
5,2019-02-01,I love Yankee Candles. The fragrance last and smells the way it is stated on the jar.
5,2020-12-15,"Liked the smell, delivery,  and price."
5,2020-01-31,Gifted to mom she likes
5,2020-10-20,scent lasts forever
5,2019-09-19,Yankee candles are the only ones I buy now. They are a little more expensive but it it well worth the price.  Wonderful aroma and long lasting.
5,2020-01-01,Great value for the price! I bought the medium size candle from my son’s school fundraiser and it was half the size and several dollars more!
5,2019-06-26,If you want strong candle smell then you cannot beat Yankee candles!👍🏼
5,2018-05-21,"It smelled heavenly, like a rich chocolate cake. I even baked a chocolate cake that weekend because of that candle!"
5,2015-04-14,Simply the best smelling and lasting candles on the market. I can't see how you could go wrong. It arrived in one piece and within the time estimated. Not to weak......not to strong. Yankee Candles are just right.
5,2019-11-08,Great candle and it’s made in AmericaTo many candles on amazon are made in China with a cheap scent.I love this made in the USA product. Will be buying more!
5,2019-08-27,"Smells amazing, like Christmas, and lasts forever."
5,2019-12-03,Bought this as a gift and they loved it!
5,2019-12-09,Yankee Candle - can’t go wrong with it!
5,2020-01-16,Great!!  Love it!
5,2020-01-09,I love this scent!
5,2020-02-01,This candle is in my living room and my entire house smells great
5,2012-12-12,I purchased this item because my local store only had other brands in stock and I wanted Yankee. I realize I could have drove to a store that stocks them but it was much easier to purchase from Grandma's Giftware with fulfillment through Amazon.The candle was very well packaged in bubble wrap inside double box.All of the wonderful smells of Yankee and the Kitchen Spice reminds me of the holiday season.They are a little more expensive than some of the other brands but I just ordered another one anyway.
5,2015-11-10,"I love Yankee's French Vanilla. It smells so good an is rich, sweet, and fills the room. This is a classic, soft aroma that most everyone will like. I also like and recommend Yankee's Lavender Vanilla."
5,2020-10-22,Lasts a long time! Scent is amazing!
5,2019-10-08,Great
5,2021-03-09,a sweet smell
5,2020-02-15,Love these candles
5,2020-02-17,I love the scent of this!
5,2020-01-07,Loved this one!  Great scent
5,2019-05-05,One of my favorite Yankee scents! Smells like home and old Friends!
5,2021-11-08,This would be a perfect gift for any occasion. The smell is incredible!
5,2018-12-30,"French Vanilla is such a nice scent, it smells just like icing. The scent is strong and the candle lasts forever."
5,2018-09-11,I love Yankee Candle but they can be expensive. Finding a large one for $15 is a dream come true
5,2019-08-05,Vanilla cupcake scent smells very good! Long lasting candle
5,2022-01-27,Nice warm cinnamon scent. Some candles have a fake smell but this smells very natural. Even my husband likes it!
5,2015-02-07,"Just what I expect from a Yankee Candle.  They burn forever and I love this scent.  If you trim the wick down,  it burns more even and doesn't blacken the glass.  Yankee makes a trimmer,  duh.  But I love mine."
5,2020-02-23,"Smells fantastic, fills the room"
5,2020-09-03,"love this scent. It reminds me of Thanksgiving and Christmas, a very warm scent if you will. Love the cinnamon and other warm scents!"
5,2018-12-25,I ordered the Sparkling Cinnamon candle.  It is very fragrant.  Loved the scent.
5,2019-05-23,How can you go wrong with a yankee candle. There all wonderful.
5,2020-01-12,Makes a wonderful gift.
5,2020-01-19,bought as gift and was liked!
5,2020-05-13,Smell
5,2020-02-09,"Great, scented candles."
5,2020-01-25,Love the smell. Haven't had it long enough to know how long it lasts but I got it for a great price.
5,2020-01-06,Absolutely LOVE this candle.It’s my favorite Yankee scent!!!
5,2018-01-29,Best scented candle for the winter especially - the 'salted' part of this tones down the sweetness just right.  I have tried to find it year round but it seems to be available only through the winter - grab them!
5,2019-11-09,These have a great scent and last a long time
5,2020-11-09,Love Yankees candles! Great price!
5,2019-08-28,Smells amazing.  Use it with my candle warmer.
5,2018-09-29,Lasts a long time for a candle . I hate candles that you light for 5 mins and they are 1/2 gone .
5,2019-04-18,"I love these candles,  great smell,  color and long lasting."
5,2020-03-12,Long burn!
5,2019-06-29,Best smell of the entire Yankee Candle catalogue
5,2018-10-11,"I love the warm sugary Carmel aroma that works perfectly witha fire in the fireplace, a good book and glass of wine."
5,2018-04-27,"By far my favourite Yankee candle. Smells great, actually makes me hungry as it reminds me of the smell of vanilla cake."
5,2020-01-07,wonderful fragrance in my house.....
5,2019-11-13,great and worked as expected
5,2020-01-05,Love the scent!
5,2020-02-21,GREAT
5,2020-08-18,If it has cinnamon in it I will probably like it. Again I burn this candle all year also.
5,2020-02-22,good product
5,2020-02-17,Smells great!
5,2014-01-31,"Got this for my wife for the holidays, and she loves it.  It smells very good, not overpowering.  Burns cleanly and evenly; and lasts a long time.  Best price I could find that included two-day delivery with Amazon Prime."
5,2019-12-05,Great autumn scent.
5,2019-08-20,Love everything about it.  Smell is awesome!!!
5,2020-02-07,Great price and packaged well
5,2019-08-06,Smells good! What you’d expect from a yankee candle!
5,2020-08-31,Exactly as Described.
5,2020-08-31,Exactly as Described.
5,2022-02-02,I keep a large yankee candle lit in my family room….. I buy a new one for each Season…..  cozy
5,2020-01-03,Love this candle.  Yankee is an excellent brand with lasting scent.
5,2016-01-14,"Love the smell of Vanilla Cupcake. I burn the candle in the house and it smells so good, great candle. Candles are a bit expensive but if you shop around you can usually find a better price."
5,2012-04-17,"This has got to be my favorite. Smells wonderful, long lasting. Be sure to fully burn for a least an hour the 1st time, and let it completely pool before putting out. Yes pool not cool. It will help your Yankee Candles burn more evenly."
5,2020-01-17,One of my favorite scents
5,2021-04-12,Love this smell! Nice chocolate scent
5,2017-08-12,"Great scent that I was told is ""out of season"" fills my place with the great key west-key lime pie scent"
5,2021-08-08,Wonderful scent. Please keep in your offerings
5,2020-03-27,Gift
5,2019-01-27,My bff loves Yankee Candles and this vanilla cupcake candle is her favorite!
5,2020-01-26,Love The Smell
5,2018-02-06,Beautiful way to fragrance your home. Smells like cinnamon and nutmeg- a lighter version of their Home  Sweet Home candle.
5,2021-11-08,"This is my favorite Yankee Candle scent and they're difficult to find.  Thanks, Amazon, for carrying this scent."
5,2019-12-20,Quality product
5,2019-01-04,What else can I say.. if you love yankee candles this is the one! I got this on sale for 9.99 an unbeatable price!
5,2020-03-10,Lovely scent.
5,2020-01-27,Yankee is the best
5,2021-04-24,Love it!
5,2021-03-13,Stick with YANKEE.  The value is there!
5,2019-01-26,Love the smell of this one. Perfect present for a lady at my office.
5,2019-06-15,What a great deal ! Smells wonderful as always
5,2020-10-15,"Yankee French Vanilla, large jar, is the best ever!!"
5,2019-08-21,nice scent and nice looking candle
5,2019-11-11,They perform as advertised and make great gifts.
5,2020-01-10,The best candles
5,2019-12-18,Plenty strong enough
5,2020-01-11,Quality.Excellent.
5,2018-10-18,I just love almost all of the yankee candle scents. This scent is a subtle vanilla smell. It’s not over powering at all.
5,2020-03-08,Love
5,2020-01-13,Love it
5,2019-04-05,I love this candle & this scent. But yankee never disappoints.
5,2021-02-20,These candles are of excellent quality. The scent last throughout the full candle. Love this brand!
5,2019-10-10,I love this scent for the fall.
5,2020-06-28,Great deal on these candles. Love them
5,2020-08-07,"Long lasting, smells great!"
